D:\Studies\Projects\Simulation\Data\IMG\center_2019_03_28_00_09_36_150.jpg, D:\Studies\Projects\Simulation\Data\IMG\left_2019_03_28_00_09_36_150.jpg, D:\Studies\Projects\Simulation\Data\IMG\right_2019_03_28_00_09_36_150.jpg, 0, 0, 0, 0.917497
D:\Studies\Projects\Simulation\Data\IMG\center_2019_03_28_00_09_36_262.jpg, D:\Studies\Projects\Simulation\Data\IMG\left_2019_03_28_00_09_36_262.jpg, D:\Studies\Projects\Simulation\Data\IMG\right_2019_03_28_00_09_36_262.jpg, 0, 0, 0, 0.9050882
D:\Studies\Projects\Simulation\Data\IMG\center_2019_03_28_00_09_36_363.jpg, D:\Studies\Projects\Simulation\Data\IMG\left_2019_03_28_00_09_36_363.jpg, D:\Studies\Projects\Simulation\Data\IMG\right_2019_03_28_00_09_36_363.jpg, 0, 0, 0, 0.8948628
D:\Studies\Projects\Simulation\Data\IMG\center_2019_03_28_00_09_36_476.jpg, D:\Studies\Projects\Simulation\Data\IMG\left_2019_03_28_00_09_36_476.jpg, D:\Studies\Projects\Simulation\Data\IMG\right_2019_03_28_00_09_36_476.jpg, 0, 0, 0, 0.8827293
D:\Studies\Projects\Simulation\Data\IMG\center_2019_03_28_00_09_36_588.jpg, D:\Studies\Projects\Simulation\Data\IMG\left_2019_03_28_00_09_36_588.jpg, D:\Studies\Projects\Simulation\Data\IMG\right_2019_03_28_00_09_36_588.jpg, 0, 0, 0, 0.8727305
D:\Studies\Projects\Simulation\Data\IMG\center_2019_03_28_00_09_36_700.jpg, D:\Studies\Projects\Simulation\Data\IMG\left_2019_03_28_00_09_36_700.jpg, D:\Studies\Projects\Simulation\Data\IMG\right_2019_03_28_00_09_36_700.jpg, 0, 0, 0, 0.8608658
D:\Studies\Projects\Simulation\Data\IMG\center_2019_03_28_00_09_36_812.jpg, D:\Studies\Projects\Simulation\Data\IMG\left_2019_03_28_00_09_36_812.jpg, D:\Studies\Projects\Simulation\Data\IMG\right_2019_03_28_00_09_36_812.jpg, 0, 0, 0, 0.8510885
D:\Studies\Projects\Simulation\Data\IMG\center_2019_03_28_00_09_36_917.jpg, D:\Studies\Projects\Simulation\Data\IMG\left_2019_03_28_00_09_36_917.jpg, D:\Studies\Projects\Simulation\Data\IMG\right_2019_03_28_00_09_36_917.jpg, 0, 0, 0, 0.8394867
D:\Studies\Projects\Simulation\Data\IMG\center_2019_03_28_00_09_37_029.jpg, D:\Studies\Projects\Simulation\Data\IMG\left_2019_03_28_00_09_37_029.jpg, D:\Studies\Projects\Simulation\Data\IMG\right_2019_03_28_00_09_37_029.jpg, 0, 0, 0, 0.8299265
D:\Studies\Projects\Simulation\Data\IMG\center_2019_03_28_00_09_37_140.jpg, D:\Studies\Projects\Simulation\Data\IMG\left_2019_03_28_00_09_37_140.jpg, D:\Studies\Projects\Simulation\Data\IMG\right_2019_03_28_00_09_37_140.jpg, 0, 0, 0, 0.8185819
D:\Studies\Projects\Simulation\Data\IMG\center_2019_03_28_00_09_37_253.jpg, D:\Studies\Projects\Simulation\Data\IMG\left_2019_03_28_00_09_37_253.jpg, D:\Studies\Projects\Simulation\Data\IMG\right_2019_03_28_00_09_37_253.jpg, 0, 0, 0, 0.8092335
